abstract_sku,old_sku,concrete_sku,name.de_DE,attribute_key_1,value_1,attribute_key_1.de_DE,value_1.de_DE,attribute_key_2,value_2,icecat_pdp_url,description.de_DE,is_searchable.de_DE,icecat_license,bundled,is_quantity_splittable
070,133745033,070_133745033,Samsung Galaxy Ace,series,Ace Plus,,,internal_storage_capacity,2.7 GB,//uk.icecat.biz/en/p/samsung/gt-i8160okabtu/smartphones-8806085027312-Samsung-Galaxy-Ace-2-GT-I8160-2-1GB-16M-13374503.html,"Ein Kunstwerk Das 5-Zoll-Display des Liquid Jade ist ein ansprechender Anblick. Die HD-Auflösung in Kombination mit der IPS1-Technologie verleiht Videos, Bildern und Web-Inhalten noch mehr Leben. Außerdem lässt das Zero Air Gap-Design alle Bilder gut aussehen – auch bei Sonnenlicht. Der Name sagt alles: ein Smartphone, das ist so schön ist wie Jade. Dank der 7,5 mm flachen und geschwungenen, ergonomischen Oberflächen liegt das Liquid Jade angenehm in der Hand. Die geschwungene Corning® Gorilla® Glass-Display unterstreicht die robuste und doch ansprechende Bauweise des Liquid Jade.",1,"This CSV is part of Open Icecat catalog, version March 2 2016, March 2, 2016 (see //www.icecat.biz), whereby the original XML source was transformed into CSV and product data was completed or optimized, where necessary. (c) Icecat.biz For the full copyright and license information, please view the LICENSE and DISCLAIMER file that was distributed with this source code. Open Icecat and its sponsors are providing you as a user a large quantity of free product data - for more details please view //www.icecat.biz.",,
071,26974343,071_26974343,Samsung Galaxy Xcover 3,,,,,,,//uk.icecat.biz/en/p/samsung/sm-g388fdsaato/smartphones-Samsung-Galaxy-Xcover-3-8GB-4G-Grey-Silver-26974343.html,"Gut gewappnet Raue Umgebungen oder staubige Luft, für diese Herausforderungen zeigt sich das SAMSUNG GALAXY Xcover 3 gut gewappnet. Es bietet nicht nur Schutz vor kleinen Staubteilchen, sondern übersteht auch unbeschadet Stürze aus einer Höhe von bis zu 1,2 Metern* (MIL-STD 810G). Zudem ist es gemäß IP67-Zertifizierung staub- und wassergeschützt bis zu einem Meter Wassertiefe und 30 Minuten** Dauer. Mit gerade einmal 9,95 Millimeter und 154 Gramm ist es für ein Outdoor-Smartphone verblüffend schlank und fällt durch sein elegantes Design auf. Trotz der kompakten Maße bietet das GALAXY Xcover 3 viele technische Raffinessen. Haptische Bedienelemente – Home-, Menü- und Zurückknöpfe – erleichtern die Nutzung unter widrigen Bedingungen wie Feuchte oder Kälte. Die neue Xcover-Taste ermöglicht den Sofortzugriff auf wichtige Funktionen: Drücken Nutzer einmal kurz darauf, aktivieren Sie beispielsweise das LED-Licht, um sich auch im Dunkeln zu orientieren. Ein langer Knopfdruck öffnet unmittelbar die Kamera, damit Nutzer spontane Fotogelegenheiten nicht verpassen – und das nicht nur im Trockenen. Der Unterwassermodus erlaubt bei kleinen Tauchgängen Aufnahmen von unvergesslichen Momenten. GALAXY Xcover 3: Steckt viel ein, sieht schick aus.",1,"This CSV is part of Open Icecat catalog, version March 2 2016, March 2, 2016 (see //www.icecat.biz), whereby the original XML source was transformed into CSV and product data was completed or optimized, where necessary. (c) Icecat.biz For the full copyright and license information, please view the LICENSE and DISCLAIMER file that was distributed with this source code. Open Icecat and its sponsors are providing you as a user a large quantity of free product data - for more details please view //www.icecat.biz.",,
072,19618271,072_19618271,Samsung Galaxy Note 3,storage_capacity,32 GB,,,,,//uk.icecat.biz/en/p/samsung/sm-n9005zkebtu/smartphones-8806085777316-Samsung-Galaxy-Note-3-SM-N9005-32GB-4G-Black-19618271.html,"Gut gewappnet Raue Umgebungen oder staubige Luft, für diese Herausforderungen zeigt sich das SAMSUNG GALAXY Xcover 3 gut gewappnet. Es bietet nicht nur Schutz vor kleinen Staubteilchen, sondern übersteht auch unbeschadet Stürze aus einer Höhe von bis zu 1,2 Metern* (MIL-STD 810G). Zudem ist es gemäß IP67-Zertifizierung staub- und wassergeschützt bis zu einem Meter Wassertiefe und 30 Minuten** Dauer. Mit gerade einmal 9,95 Millimeter und 154 Gramm ist es für ein Outdoor-Smartphone verblüffend schlank und fällt durch sein elegantes Design auf. Trotz der kompakten Maße bietet das GALAXY Xcover 3 viele technische Raffinessen. Haptische Bedienelemente – Home-, Menü- und Zurückknöpfe – erleichtern die Nutzung unter widrigen Bedingungen wie Feuchte oder Kälte. Die neue Xcover-Taste ermöglicht den Sofortzugriff auf wichtige Funktionen: Drücken Nutzer einmal kurz darauf, aktivieren Sie beispielsweise das LED-Licht, um sich auch im Dunkeln zu orientieren. Ein langer Knopfdruck öffnet unmittelbar die Kamera, damit Nutzer spontane Fotogelegenheiten nicht verpassen – und das nicht nur im Trockenen. Der Unterwassermodus erlaubt bei kleinen Tauchgängen Aufnahmen von unvergesslichen Momenten. GALAXY Xcover 3: Steckt viel ein, sieht schick aus.",1,"This CSV is part of Open Icecat catalog, version March 2 2016, March 2, 2016 (see //www.icecat.biz), whereby the original XML source was transformed into CSV and product data was completed or optimized, where necessary. (c) Icecat.biz For the full copyright and license information, please view the LICENSE and DISCLAIMER file that was distributed with this source code. Open Icecat and its sponsors are providing you as a user a large quantity of free product data - for more details please view //www.icecat.biz.",,
072,21927455,072_21927455,Samsung Galaxy Note 3,storage_capacity,16 GB,,,,,//uk.icecat.biz/en/p/samsung/sm-n7505zwabtu/smartphones-Samsung-Galaxy-Note-3-Neo-SM-N7505-16GB-4G-White-21927455.html,"Gut gewappnet Raue Umgebungen oder staubige Luft, für diese Herausforderungen zeigt sich das SAMSUNG GALAXY Xcover 3 gut gewappnet. Es bietet nicht nur Schutz vor kleinen Staubteilchen, sondern übersteht auch unbeschadet Stürze aus einer Höhe von bis zu 1,2 Metern* (MIL-STD 810G). Zudem ist es gemäß IP67-Zertifizierung staub- und wassergeschützt bis zu einem Meter Wassertiefe und 30 Minuten** Dauer. Mit gerade einmal 9,95 Millimeter und 154 Gramm ist es für ein Outdoor-Smartphone verblüffend schlank und fällt durch sein elegantes Design auf. Trotz der kompakten Maße bietet das GALAXY Xcover 3 viele technische Raffinessen. Haptische Bedienelemente – Home-, Menü- und Zurückknöpfe – erleichtern die Nutzung unter widrigen Bedingungen wie Feuchte oder Kälte. Die neue Xcover-Taste ermöglicht den Sofortzugriff auf wichtige Funktionen: Drücken Nutzer einmal kurz darauf, aktivieren Sie beispielsweise das LED-Licht, um sich auch im Dunkeln zu orientieren. Ein langer Knopfdruck öffnet unmittelbar die Kamera, damit Nutzer spontane Fotogelegenheiten nicht verpassen – und das nicht nur im Trockenen. Der Unterwassermodus erlaubt bei kleinen Tauchgängen Aufnahmen von unvergesslichen Momenten. GALAXY Xcover 3: Steckt viel ein, sieht schick aus.",1,"This CSV is part of Open Icecat catalog, version March 2 2016, March 2, 2016 (see //www.icecat.biz), whereby the original XML source was transformed into CSV and product data was completed or optimized, where necessary. (c) Icecat.biz For the full copyright and license information, please view the LICENSE and DISCLAIMER file that was distributed with this source code. Open Icecat and its sponsors are providing you as a user a large quantity of free product data - for more details please view //www.icecat.biz.",,
073,19618271,073_19618271,Samsung Galaxy Note 3,storage_capacity,32 GB,,,,,,"Gut gewappnet Raue Umgebungen oder staubige Luft, für diese Herausforderungen zeigt sich das SAMSUNG GALAXY Xcover 3 gut gewappnet. Es bietet nicht nur Schutz vor kleinen Staubteilchen, sondern übersteht auch unbeschadet Stürze aus einer Höhe von bis zu 1,2 Metern* (MIL-STD 810G). Zudem ist es gemäß IP67-Zertifizierung staub- und wassergeschützt bis zu einem Meter Wassertiefe und 30 Minuten** Dauer. Mit gerade einmal 9,95 Millimeter und 154 Gramm ist es für ein Outdoor-Smartphone verblüffend schlank und fällt durch sein elegantes Design auf. Trotz der kompakten Maße bietet das GALAXY Xcover 3 viele technische Raffinessen. Haptische Bedienelemente – Home-, Menü- und Zurückknöpfe – erleichtern die Nutzung unter widrigen Bedingungen wie Feuchte oder Kälte. Die neue Xcover-Taste ermöglicht den Sofortzugriff auf wichtige Funktionen: Drücken Nutzer einmal kurz darauf, aktivieren Sie beispielsweise das LED-Licht, um sich auch im Dunkeln zu orientieren. Ein langer Knopfdruck öffnet unmittelbar die Kamera, damit Nutzer spontane Fotogelegenheiten nicht verpassen – und das nicht nur im Trockenen. Der Unterwassermodus erlaubt bei kleinen Tauchgängen Aufnahmen von unvergesslichen Momenten. GALAXY Xcover 3: Steckt viel ein, sieht schick aus.",1,"This CSV is part of Open Icecat catalog, version March 2 2016, March 2, 2016 (see //www.icecat.biz), whereby the original XML source was transformed into CSV and product data was completed or optimized, where necessary. (c) Icecat.biz For the full copyright and license information, please view the LICENSE and DISCLAIMER file that was distributed with this source code. Open Icecat and its sponsors are providing you as a user a large quantity of free product data - for more details please view //www.icecat.biz.",,
073,21927455,073_21927455,Samsung Galaxy Note 3,storage_capacity,16 GB,,,,,,"Gut gewappnet Raue Umgebungen oder staubige Luft, für diese Herausforderungen zeigt sich das SAMSUNG GALAXY Xcover 3 gut gewappnet. Es bietet nicht nur Schutz vor kleinen Staubteilchen, sondern übersteht auch unbeschadet Stürze aus einer Höhe von bis zu 1,2 Metern* (MIL-STD 810G). Zudem ist es gemäß IP67-Zertifizierung staub- und wassergeschützt bis zu einem Meter Wassertiefe und 30 Minuten** Dauer. Mit gerade einmal 9,95 Millimeter und 154 Gramm ist es für ein Outdoor-Smartphone verblüffend schlank und fällt durch sein elegantes Design auf. Trotz der kompakten Maße bietet das GALAXY Xcover 3 viele technische Raffinessen. Haptische Bedienelemente – Home-, Menü- und Zurückknöpfe – erleichtern die Nutzung unter widrigen Bedingungen wie Feuchte oder Kälte. Die neue Xcover-Taste ermöglicht den Sofortzugriff auf wichtige Funktionen: Drücken Nutzer einmal kurz darauf, aktivieren Sie beispielsweise das LED-Licht, um sich auch im Dunkeln zu orientieren. Ein langer Knopfdruck öffnet unmittelbar die Kamera, damit Nutzer spontane Fotogelegenheiten nicht verpassen – und das nicht nur im Trockenen. Der Unterwassermodus erlaubt bei kleinen Tauchgängen Aufnahmen von unvergesslichen Momenten. GALAXY Xcover 3: Steckt viel ein, sieht schick aus.",1,"This CSV is part of Open Icecat catalog, version March 2 2016, March 2, 2016 (see //www.icecat.biz), whereby the original XML source was transformed into CSV and product data was completed or optimized, where necessary. (c) Icecat.biz For the full copyright and license information, please view the LICENSE and DISCLAIMER file that was distributed with this source code. Open Icecat and its sponsors are providing you as a user a large quantity of free product data - for more details please view //www.icecat.biz.",,
074,29641053,074_29641053,Samsung Galaxy Tab S2,,,,,,,,"Gut gewappnet Raue Umgebungen oder staubige Luft, für diese Herausforderungen zeigt sich das SAMSUNG GALAXY Xcover 3 gut gewappnet. Es bietet nicht nur Schutz vor kleinen Staubteilchen, sondern übersteht auch unbeschadet Stürze aus einer Höhe von bis zu 1,2 Metern* (MIL-STD 810G). Zudem ist es gemäß IP67-Zertifizierung staub- und wassergeschützt bis zu einem Meter Wassertiefe und 30 Minuten** Dauer. Mit gerade einmal 9,95 Millimeter und 154 Gramm ist es für ein Outdoor-Smartphone verblüffend schlank und fällt durch sein elegantes Design auf. Trotz der kompakten Maße bietet das GALAXY Xcover 3 viele technische Raffinessen. Haptische Bedienelemente – Home-, Menü- und Zurückknöpfe – erleichtern die Nutzung unter widrigen Bedingungen wie Feuchte oder Kälte. Die neue Xcover-Taste ermöglicht den Sofortzugriff auf wichtige Funktionen: Drücken Nutzer einmal kurz darauf, aktivieren Sie beispielsweise das LED-Licht, um sich auch im Dunkeln zu orientieren. Ein langer Knopfdruck öffnet unmittelbar die Kamera, damit Nutzer spontane Fotogelegenheiten nicht verpassen – und das nicht nur im Trockenen. Der Unterwassermodus erlaubt bei kleinen Tauchgängen Aufnahmen von unvergesslichen Momenten. GALAXY Xcover 3: Steckt viel ein, sieht schick aus.",1,"This CSV is part of Open Icecat catalog, version March 2 2016, March 2, 2016 (see //www.icecat.biz), whereby the original XML source was transformed into CSV and product data was completed or optimized, where necessary. (c) Icecat.biz For the full copyright and license information, please view the LICENSE and DISCLAIMER file that was distributed with this source code. Open Icecat and its sponsors are providing you as a user a large quantity of free product data - for more details please view //www.icecat.biz.",,
075,29401702,075_29401702,Samsung Galaxy Tab S2,,,,,,,,"Gut gewappnet Raue Umgebungen oder staubige Luft, für diese Herausforderungen zeigt sich das SAMSUNG GALAXY Xcover 3 gut gewappnet. Es bietet nicht nur Schutz vor kleinen Staubteilchen, sondern übersteht auch unbeschadet Stürze aus einer Höhe von bis zu 1,2 Metern* (MIL-STD 810G). Zudem ist es gemäß IP67-Zertifizierung staub- und wassergeschützt bis zu einem Meter Wassertiefe und 30 Minuten** Dauer. Mit gerade einmal 9,95 Millimeter und 154 Gramm ist es für ein Outdoor-Smartphone verblüffend schlank und fällt durch sein elegantes Design auf. Trotz der kompakten Maße bietet das GALAXY Xcover 3 viele technische Raffinessen. Haptische Bedienelemente – Home-, Menü- und Zurückknöpfe – erleichtern die Nutzung unter widrigen Bedingungen wie Feuchte oder Kälte. Die neue Xcover-Taste ermöglicht den Sofortzugriff auf wichtige Funktionen: Drücken Nutzer einmal kurz darauf, aktivieren Sie beispielsweise das LED-Licht, um sich auch im Dunkeln zu orientieren. Ein langer Knopfdruck öffnet unmittelbar die Kamera, damit Nutzer spontane Fotogelegenheiten nicht verpassen – und das nicht nur im Trockenen. Der Unterwassermodus erlaubt bei kleinen Tauchgängen Aufnahmen von unvergesslichen Momenten. GALAXY Xcover 3: Steckt viel ein, sieht schick aus.",1,"This CSV is part of Open Icecat catalog, version March 2 2016, March 2, 2016 (see //www.icecat.biz), whereby the original XML source was transformed into CSV and product data was completed or optimized, where necessary. (c) Icecat.biz For the full copyright and license information, please view the LICENSE and DISCLAIMER file that was distributed with this source code. Open Icecat and its sponsors are providing you as a user a large quantity of free product data - for more details please view //www.icecat.biz.",,
076,24394207,076_24394207,Sony Xperia Z3 Compact,,,,,,,,"Gut gewappnet Raue Umgebungen oder staubige Luft, für diese Herausforderungen zeigt sich das SAMSUNG GALAXY Xcover 3 gut gewappnet. Es bietet nicht nur Schutz vor kleinen Staubteilchen, sondern übersteht auch unbeschadet Stürze aus einer Höhe von bis zu 1,2 Metern* (MIL-STD 810G). Zudem ist es gemäß IP67-Zertifizierung staub- und wassergeschützt bis zu einem Meter Wassertiefe und 30 Minuten** Dauer. Mit gerade einmal 9,95 Millimeter und 154 Gramm ist es für ein Outdoor-Smartphone verblüffend schlank und fällt durch sein elegantes Design auf. Trotz der kompakten Maße bietet das GALAXY Xcover 3 viele technische Raffinessen. Haptische Bedienelemente – Home-, Menü- und Zurückknöpfe – erleichtern die Nutzung unter widrigen Bedingungen wie Feuchte oder Kälte. Die neue Xcover-Taste ermöglicht den Sofortzugriff auf wichtige Funktionen: Drücken Nutzer einmal kurz darauf, aktivieren Sie beispielsweise das LED-Licht, um sich auch im Dunkeln zu orientieren. Ein langer Knopfdruck öffnet unmittelbar die Kamera, damit Nutzer spontane Fotogelegenheiten nicht verpassen – und das nicht nur im Trockenen. Der Unterwassermodus erlaubt bei kleinen Tauchgängen Aufnahmen von unvergesslichen Momenten. GALAXY Xcover 3: Steckt viel ein, sieht schick aus.",1,"This CSV is part of Open Icecat catalog, version March 2 2016, March 2, 2016 (see //www.icecat.biz), whereby the original XML source was transformed into CSV and product data was completed or optimized, where necessary. (c) Icecat.biz For the full copyright and license information, please view the LICENSE and DISCLAIMER file that was distributed with this source code. Open Icecat and its sponsors are providing you as a user a large quantity of free product data - for more details please view //www.icecat.biz.",,
077,24584210,077_24584210,Sony Xperia Z3 Compact,,,,,,,,"Gut gewappnet Raue Umgebungen oder staubige Luft, für diese Herausforderungen zeigt sich das SAMSUNG GALAXY Xcover 3 gut gewappnet. Es bietet nicht nur Schutz vor kleinen Staubteilchen, sondern übersteht auch unbeschadet Stürze aus einer Höhe von bis zu 1,2 Metern* (MIL-STD 810G). Zudem ist es gemäß IP67-Zertifizierung staub- und wassergeschützt bis zu einem Meter Wassertiefe und 30 Minuten** Dauer. Mit gerade einmal 9,95 Millimeter und 154 Gramm ist es für ein Outdoor-Smartphone verblüffend schlank und fällt durch sein elegantes Design auf. Trotz der kompakten Maße bietet das GALAXY Xcover 3 viele technische Raffinessen. Haptische Bedienelemente – Home-, Menü- und Zurückknöpfe – erleichtern die Nutzung unter widrigen Bedingungen wie Feuchte oder Kälte. Die neue Xcover-Taste ermöglicht den Sofortzugriff auf wichtige Funktionen: Drücken Nutzer einmal kurz darauf, aktivieren Sie beispielsweise das LED-Licht, um sich auch im Dunkeln zu orientieren. Ein langer Knopfdruck öffnet unmittelbar die Kamera, damit Nutzer spontane Fotogelegenheiten nicht verpassen – und das nicht nur im Trockenen. Der Unterwassermodus erlaubt bei kleinen Tauchgängen Aufnahmen von unvergesslichen Momenten. GALAXY Xcover 3: Steckt viel ein, sieht schick aus.",1,"This CSV is part of Open Icecat catalog, version March 2 2016, March 2, 2016 (see //www.icecat.biz), whereby the original XML source was transformed into CSV and product data was completed or optimized, where necessary. (c) Icecat.biz For the full copyright and license information, please view the LICENSE and DISCLAIMER file that was distributed with this source code. Open Icecat and its sponsors are providing you as a user a large quantity of free product data - for more details please view //www.icecat.biz.",,
078,24602396,078_24602396,Sony Xperia Z3 Compact,,,,,,,,"Gut gewappnet Raue Umgebungen oder staubige Luft, für diese Herausforderungen zeigt sich das SAMSUNG GALAXY Xcover 3 gut gewappnet. Es bietet nicht nur Schutz vor kleinen Staubteilchen, sondern übersteht auch unbeschadet Stürze aus einer Höhe von bis zu 1,2 Metern* (MIL-STD 810G). Zudem ist es gemäß IP67-Zertifizierung staub- und wassergeschützt bis zu einem Meter Wassertiefe und 30 Minuten** Dauer. Mit gerade einmal 9,95 Millimeter und 154 Gramm ist es für ein Outdoor-Smartphone verblüffend schlank und fällt durch sein elegantes Design auf. Trotz der kompakten Maße bietet das GALAXY Xcover 3 viele technische Raffinessen. Haptische Bedienelemente – Home-, Menü- und Zurückknöpfe – erleichtern die Nutzung unter widrigen Bedingungen wie Feuchte oder Kälte. Die neue Xcover-Taste ermöglicht den Sofortzugriff auf wichtige Funktionen: Drücken Nutzer einmal kurz darauf, aktivieren Sie beispielsweise das LED-Licht, um sich auch im Dunkeln zu orientieren. Ein langer Knopfdruck öffnet unmittelbar die Kamera, damit Nutzer spontane Fotogelegenheiten nicht verpassen – und das nicht nur im Trockenen. Der Unterwassermodus erlaubt bei kleinen Tauchgängen Aufnahmen von unvergesslichen Momenten. GALAXY Xcover 3: Steckt viel ein, sieht schick aus.",1,"This CSV is part of Open Icecat catalog, version March 2 2016, March 2, 2016 (see //www.icecat.biz), whereby the original XML source was transformed into CSV and product data was completed or optimized, where necessary. (c) Icecat.biz For the full copyright and license information, please view the LICENSE and DISCLAIMER file that was distributed with this source code. Open Icecat and its sponsors are providing you as a user a large quantity of free product data - for more details please view //www.icecat.biz.",,
079,24394211,079_24394211,Sony Xperia Z3,,,,,,,,"Gut gewappnet Raue Umgebungen oder staubige Luft, für diese Herausforderungen zeigt sich das SAMSUNG GALAXY Xcover 3 gut gewappnet. Es bietet nicht nur Schutz vor kleinen Staubteilchen, sondern übersteht auch unbeschadet Stürze aus einer Höhe von bis zu 1,2 Metern* (MIL-STD 810G). Zudem ist es gemäß IP67-Zertifizierung staub- und wassergeschützt bis zu einem Meter Wassertiefe und 30 Minuten** Dauer. Mit gerade einmal 9,95 Millimeter und 154 Gramm ist es für ein Outdoor-Smartphone verblüffend schlank und fällt durch sein elegantes Design auf. Trotz der kompakten Maße bietet das GALAXY Xcover 3 viele technische Raffinessen. Haptische Bedienelemente – Home-, Menü- und Zurückknöpfe – erleichtern die Nutzung unter widrigen Bedingungen wie Feuchte oder Kälte. Die neue Xcover-Taste ermöglicht den Sofortzugriff auf wichtige Funktionen: Drücken Nutzer einmal kurz darauf, aktivieren Sie beispielsweise das LED-Licht, um sich auch im Dunkeln zu orientieren. Ein langer Knopfdruck öffnet unmittelbar die Kamera, damit Nutzer spontane Fotogelegenheiten nicht verpassen – und das nicht nur im Trockenen. Der Unterwassermodus erlaubt bei kleinen Tauchgängen Aufnahmen von unvergesslichen Momenten. GALAXY Xcover 3: Steckt viel ein, sieht schick aus.",1,"This CSV is part of Open Icecat catalog, version March 2 2016, March 2, 2016 (see //www.icecat.biz), whereby the original XML source was transformed into CSV and product data was completed or optimized, where necessary. (c) Icecat.biz For the full copyright and license information, please view the LICENSE and DISCLAIMER file that was distributed with this source code. Open Icecat and its sponsors are providing you as a user a large quantity of free product data - for more details please view //www.icecat.biz.",,
080,24394206,080_24394206,Sony Xperia Z3,,,,,,,,"Gut gewappnet Raue Umgebungen oder staubige Luft, für diese Herausforderungen zeigt sich das SAMSUNG GALAXY Xcover 3 gut gewappnet. Es bietet nicht nur Schutz vor kleinen Staubteilchen, sondern übersteht auch unbeschadet Stürze aus einer Höhe von bis zu 1,2 Metern* (MIL-STD 810G). Zudem ist es gemäß IP67-Zertifizierung staub- und wassergeschützt bis zu einem Meter Wassertiefe und 30 Minuten** Dauer. Mit gerade einmal 9,95 Millimeter und 154 Gramm ist es für ein Outdoor-Smartphone verblüffend schlank und fällt durch sein elegantes Design auf. Trotz der kompakten Maße bietet das GALAXY Xcover 3 viele technische Raffinessen. Haptische Bedienelemente – Home-, Menü- und Zurückknöpfe – erleichtern die Nutzung unter widrigen Bedingungen wie Feuchte oder Kälte. Die neue Xcover-Taste ermöglicht den Sofortzugriff auf wichtige Funktionen: Drücken Nutzer einmal kurz darauf, aktivieren Sie beispielsweise das LED-Licht, um sich auch im Dunkeln zu orientieren. Ein langer Knopfdruck öffnet unmittelbar die Kamera, damit Nutzer spontane Fotogelegenheiten nicht verpassen – und das nicht nur im Trockenen. Der Unterwassermodus erlaubt bei kleinen Tauchgängen Aufnahmen von unvergesslichen Momenten. GALAXY Xcover 3: Steckt viel ein, sieht schick aus.",1,"This CSV is part of Open Icecat catalog, version March 2 2016, March 2, 2016 (see //www.icecat.biz), whereby the original XML source was transformed into CSV and product data was completed or optimized, where necessary. (c) Icecat.biz For the full copyright and license information, please view the LICENSE and DISCLAIMER file that was distributed with this source code. Open Icecat and its sponsors are providing you as a user a large quantity of free product data - for more details please view //www.icecat.biz.",,
081,22196533,081_22196533,TomTom Multi-Sport Cardio,,,,,,,,"Innovative Technologie Erhalten Sie genaue Informationen zu Ihrer Herzfrequenz, ohne einen separaten Brustgurt tragen zu müssen. Ihre Herzfrequenz wird mithilfe eines Sensors in der Uhr gemessen, der Änderungen des Blutflusses an Ihrem Handgelenk feststellt. Dabei wird Licht durch die Haut geleitet, um Veränderungen bei den Lichtreflexionen festzustellen. Sehen Sie Echtzeitinformationen zu Ihrem Lauf, Ihrer Rad- und Schwimmeinheit auf einen Blick. Verfolgen Sie Ihre Distanz, Zeit, Ihr Tempo, Ihre Geschwindigkeit und Ihre verbrannten Kalorien während des Trainings auf einem extragroßen Display. Unabhängige Tests ergaben, dass der eingebaute Herzfrequenzmesser im Vergleich zur Elektrokardiografie „extrem präzise“ arbeitet. Die Überwachung der Herzfrequenz ist die beste Methode, um zu verstehen, wie Ihr Körper auf das Training reagiert.",1,"This CSV is part of Open Icecat catalog, version March 2 2016, March 2, 2016 (see //www.icecat.biz), whereby the original XML source was transformed into CSV and product data was completed or optimized, where necessary. (c) Icecat.biz For the full copyright and license information, please view the LICENSE and DISCLAIMER file that was distributed with this source code. Open Icecat and its sponsors are providing you as a user a large quantity of free product data - for more details please view //www.icecat.biz.",,
082,22196536,082_22196536,TomTom Multi-Sport Cardio,,,,,,,,"Innovative Technologie Erhalten Sie genaue Informationen zu Ihrer Herzfrequenz, ohne einen separaten Brustgurt tragen zu müssen. Ihre Herzfrequenz wird mithilfe eines Sensors in der Uhr gemessen, der Änderungen des Blutflusses an Ihrem Handgelenk feststellt. Dabei wird Licht durch die Haut geleitet, um Veränderungen bei den Lichtreflexionen festzustellen. Sehen Sie Echtzeitinformationen zu Ihrem Lauf, Ihrer Rad- und Schwimmeinheit auf einen Blick. Verfolgen Sie Ihre Distanz, Zeit, Ihr Tempo, Ihre Geschwindigkeit und Ihre verbrannten Kalorien während des Trainings auf einem extragroßen Display. Unabhängige Tests ergaben, dass der eingebaute Herzfrequenzmesser im Vergleich zur Elektrokardiografie „extrem präzise“ arbeitet. Die Überwachung der Herzfrequenz ist die beste Methode, um zu verstehen, wie Ihr Körper auf das Training reagiert.",1,"This CSV is part of Open Icecat catalog, version March 2 2016, March 2, 2016 (see //www.icecat.biz), whereby the original XML source was transformed into CSV and product data was completed or optimized, where necessary. (c) Icecat.biz For the full copyright and license information, please view the LICENSE and DISCLAIMER file that was distributed with this source code. Open Icecat and its sponsors are providing you as a user a large quantity of free product data - for more details please view //www.icecat.biz.",,
083,30964018,083_30964018,Samsung Gear 2 Classic,,,,,,,,"S Health In einer wunderbaren Partnerschaft bringt Alessandro Mendini seinen Geschmack, Humor und Farbsinn in die Gestaltung der Gear S2 ein. Das Ergebnis ist eine Reihe von Zifferblättern und Armbändern, die Ihren persönlichen Stil zum Ausdruck bringen. Die wesentlichen Smartphone-Funktionen sind mit einer einfachen Drehung an der Gear S2 verfügbar. Drehen Sie leicht an der Blende, um lange E-Mails zu durchblättern, eine Karte zu vergrössern oder bei der Musikwiedergabe ein Stück zu überspringen. Mit jeder Drehung wird das Leben noch interessanter und bunter. Bleiben Sie auf dem Laufenden und fit. Und wenn es Zeit ist, die Smartwatch wieder aufzuladen, stellen Sie sie einfach auf eine drahtlose Ladestation.",1,"This CSV is part of Open Icecat catalog, version March 2 2016, March 2, 2016 (see //www.icecat.biz), whereby the original XML source was transformed into CSV and product data was completed or optimized, where necessary. (c) Icecat.biz For the full copyright and license information, please view the LICENSE and DISCLAIMER file that was distributed with this source code. Open Icecat and its sponsors are providing you as a user a large quantity of free product data - for more details please view //www.icecat.biz.",,
084,30964019,084_30964019,Samsung Gear 2 Classic,,,,,,,,"S Health In einer wunderbaren Partnerschaft bringt Alessandro Mendini seinen Geschmack, Humor und Farbsinn in die Gestaltung der Gear S2 ein. Das Ergebnis ist eine Reihe von Zifferblättern und Armbändern, die Ihren persönlichen Stil zum Ausdruck bringen. Die wesentlichen Smartphone-Funktionen sind mit einer einfachen Drehung an der Gear S2 verfügbar. Drehen Sie leicht an der Blende, um lange E-Mails zu durchblättern, eine Karte zu vergrössern oder bei der Musikwiedergabe ein Stück zu überspringen. Mit jeder Drehung wird das Leben noch interessanter und bunter. Bleiben Sie auf dem Laufenden und fit. Und wenn es Zeit ist, die Smartwatch wieder aufzuladen, stellen Sie sie einfach auf eine drahtlose Ladestation.",1,"This CSV is part of Open Icecat catalog, version March 2 2016, March 2, 2016 (see //www.icecat.biz), whereby the original XML source was transformed into CSV and product data was completed or optimized, where necessary. (c) Icecat.biz For the full copyright and license information, please view the LICENSE and DISCLAIMER file that was distributed with this source code. Open Icecat and its sponsors are providing you as a user a large quantity of free product data - for more details please view //www.icecat.biz.",,
